id,Date&Time,text
1874835712295707068,2025-01-02T15:10:41.000Z,"HERO MOTOCORP: DECEMBER TOTAL SALES 3,24,906 UNITS VS 3,93,952 UNITS (YOY); EST 3,50,500"
1874735215652032747,2025-01-02T08:31:20.000Z,"PETRONET CLARIFIES 

PETRONET LNG: CO SAYS LNG TERMINALS OR ITS TARIFF DOES NOT FALL UNDER THE PURVIEW OF PNGRB

#BREAKING"
1874659164708085897,2025-01-02T03:29:09.000Z,"HI-TECH PIPES: CO ACHIEVED EVER HIGHEST SALES VOLUME || 1,24,233 MT IN Q3FY25 GROWTH OF 26% (YOY) || 3,69,415 MT IN 9MFY25 GROWTH OF 30% (YOY)"
1874425703200141527,2025-01-01T12:01:27.000Z,RAILTEL CORP: CO RECEIVES WORK ORDER WORTH 784.3M RUPEES
1874367548713820589,2025-01-01T08:10:22.000Z,"LLOYDS METALS & ENERGY: CO SAYS HAS REPORTED ITS HIGHEST-EVER NINE MONTHS ENDED IRON ORE PRODUCTION, ACHIEVING AN IMPRESSIVE 8.6 MILLION TONNES, MARKING A 5 % YEAR-ON-YEAR (YOY) INCREASE"
1874362155904184377,2025-01-01T07:48:56.000Z,"EICHER MOTORS (CV): DECEMBER TOTAL SALES 8,324 UNITS VS 8,026 UNITS (YOY); EST 7,820"
1874677675601928532,2025-01-02T04:42:42.000Z,WAAREE ENERGIES: CO HAS RECEIVED AN ORDER FOR SUPPLY OF SOLAR MODULES FOR 150 MW || THE SUPPLY OF MODULES IS SCHEDULED TO COMMENCE IN FY 2025-26
1874363616864186580,2025-01-01T07:54:44.000Z,"ATUL AUTO: DECEMBER TOTAL SALES 2,583 UNITS VS 2,503 UNITS (YOY)"
1874360062938145226,2025-01-01T07:40:37.000Z,"APL APOLLO TUBES: CO REGISTERED THE HIGHEST EVER SALES VOLUME OF 828,200 TON VS 603,659 TON (YOY)"
1874373065473482868,2025-01-01T08:32:17.000Z,"RAJPUTANA INDUSTRIES: CO ACHIEVES PROVISIONAL SALES FIGURE OF RUPEES 403.34CR VS 217CR - SME CO

MCAP: 190 CRS"
1874371908067877037,2025-01-01T08:27:41.000Z,SHERA ENERGY: CO ACHIEVES CONSOLIDATED PROVISIONAL SALES FIGURE OF RUPEES 900.13CR || MCAP: 425CR - SME
1874360965686591705,2025-01-01T07:44:12.000Z,GOODLUCK INDIA: CO EXPECTING TO COMMENCE COMMERCIAL PRODUCTION OF  HYDRAULIC TUBES MANUFACTURING PLANT FROM THE FIRST WEEK OF JAN 2025
1874836204358889561,2025-01-02T15:12:38.000Z,"MOIL: Q3 SALES OF 388,000 TONNES, UP 13% (YOY) || Q3 PRODUCTION OF MAGANESE ORE OF 460,000 TONNES"
1874437088579576062,2025-01-01T12:46:41.000Z,FII/DII Activity
1874822208243278054,2025-01-02T14:17:01.000Z,BIOCON: CO UNIT BIOCON PHARMA RECEIVED APPROVAL FOR TACROLIMUS CAPSULE FROM CHINA AUTHORITY
1874817880203915562,2025-01-02T13:59:49.000Z,FII/DII Activity
1874747995604008963,2025-01-02T09:22:07.000Z,FORCE MOTORS: CO HAS RECEIVED AN ORDER FOR SUPPLY OF 2429 UNITS OF BSVI DIESEL AMBULANCE
1874371161649459691,2025-01-01T08:24:43.000Z,"MARUTI SUZUKI: DECEMBER TOTAL SALES 1,78,300 UNITS VS 1,37,551 UNITS (YOY); EST 1,71,600

STELLAR SHOW"
1874429560764404106,2025-01-01T12:16:47.000Z,SANDUR MANGANESE AND IRON ORES: CO HAS RECEIVED APPROVAL FOR ENHANCEMENT OF PERMISSIBLE ANNUAL PRODUCTION (PAP) LIMIT OF IRON ORE FROM THE PRESENT 3.81 MILLION TONNES PER ANNUM (MTPA) TO 4.36 MTPA
1874425750163697872,2025-01-01T12:01:38.000Z,NMDC: TOTAL DECEMBER 2024 PRODUCTION 4.71 MT VS 4.48 MT (YOY) || TOTAL DECEMBER 2024 SALES 3.91 MT VS 4.19 MT (YOY)
1874835356283289912,2025-01-02T15:09:16.000Z,"#Q3BusinessUpdate | #MOIL

Production Of Manganese Ore At 4.6 Lakh Tonnes

Sales Up 13% YoY At 3.88 Lakh Tonnes"
1874778372473245929,2025-01-02T11:22:50.000Z,"#Explained | #America's complicated #relationship with #guns
@knvanand"
1874852675323670609,2025-01-02T16:18:05.000Z,Which countries have banned burqa and why?
1874818403996975145,2025-01-02T14:01:54.000Z,"#TradeSetup for January 3: Will short-covering take #Nifty back to recent highs of 24,800?
@senmeghna"
1874839173884256690,2025-01-02T15:24:26.000Z,"#Wockhardt's new oral antibiotic gets #CDSCO approval
@jpullokaran"
1874787743215313334,2025-01-02T12:00:04.000Z,"Financial sector and market experts consult FM #Sitharaman in pre-Budget meeting
@sheersh0510"
1874814893809156565,2025-01-02T13:47:57.000Z,#USEconomicData | U.S. Initial Jobless Claims For The Week Ended December 28 At 2.11 Lk Vs 2.19 Lk In The Previous Week
1874816440697803213,2025-01-02T13:54:06.000Z,"#Wockhardt | Central Drugs Standard Control Organization (#CDSCO)  approves company’s new generation oral antibiotic #Miqnaf

- Alert: Miqnaf is used in treatment of community-acquired bacterial pneumonia (CABP)"
1874821297806746066,2025-01-02T14:13:24.000Z,"#NewsFlash | NBFCs present wishlist to FM ahead of Union Budget via Industry Body Finance Industry Development Council (FIDC)

- NBFCs Budget 2025 Wishlist: Refinance window for on-lending to MSME & priority sector

- Propose SIDBI provide refinance to industry, with special fund"
1874852574169608495,2025-01-02T16:17:41.000Z,"#StocksToWatch on January 3: Varun Beverages, NHPC, Hindustan Zinc, Wockhardt and more
@jpullokaran"
1874792408279621807,2025-01-02T12:18:36.000Z,"#PennyStocks: These companies have negligible #revenues, but gave over 1000% #returns in 2024
@yoosefkp"
1874837283775615358,2025-01-02T15:16:55.000Z,"#DecemberAutoSales | #HeroMotoCorp

Total Sales Down 17.5% At 3.24 Lk Units Vs 3.93 Lk Units (YoY)

Total Domestic Sales Down 22.2% At 2.94 Lk Units Vs 3.78 Lk Units (YoY)

Exports Up 91% At 30,754 Units Vs 16,110 Units (YoY)"
1874777543339069621,2025-01-02T11:19:32.000Z,"Fire, engineering insurance premiums may rise by up to 60% in 2025: Key factors
@anshul91_m"
1874851506115187045,2025-01-02T16:13:26.000Z,#JustIn | Trading Instructions From Ketan Parekh Allegedly Based On: Non-published Information Of Substantial Impending Transaction Of Big Clients
1874773714962952544,2025-01-02T11:04:19.000Z,"COMING UP AT 5 PM |  At least 15 people are killed after a truck ploughed through a crowd of New Year revellers in New Orleans. FBI is probing terror links in the case. In another incident, #Tesla #cybertruck exploded outside the Trump International Hotel In #LasVegas."
1874852003245142138,2025-01-02T16:15:25.000Z,#JustIn | #SEBI’s investigation revealed that #NPI relating to impending orders of big client was passed from Rohit Salgaocar to Ketan Parekh
1874827415895384497,2025-01-02T14:37:43.000Z,"#KetanParekh back in #SEBI’s bad books, show cause notice alleges ₹65.77 cr front running scam
@sheersh0510"
1874775579708530924,2025-01-02T11:11:44.000Z,"#NewsFlash | Defence Minister 
@rajnathsingh
 urges 
@DRDO_India
  to complete 100 new critical projects by end of 2025"
1874796746926395538,2025-01-02T12:35:51.000Z,"#Biocon | Arm Biocon Pharma Gets Approval For Tacrolimus capsule From National Medical Products Administration (#NMPA), #China

Alert: Tacrolimus is an immunosuppressant used in the treatment of organ transplant patients, which reduces the body’s ability to reject a"
